Date,Team Name,Team Size,Start Time,End Time,Total Time,Puzzles Solved
2025-09-09,Casual Goblins,4,19:20,20:08,0:48,5
2025-09-09,Zero Seconds,3,19:09,20:15,1:06,5
2025-09-09,Dr. When In Knowme,2,19:23,20:22,0:59,5
2025-09-09,Here for the Beer,4,19:00,20:28,1:28,5
2025-09-09,Tainted Ladies,7,19:03,20:30,1:27,5
2025-09-09,Team EAP,7,19:19,20:32,1:13,5
2025-09-09,RAMP Lab,6,19:10,20:34,1:24,5
2025-09-09,No se,4,19:06,20:35,1:29,5
2025-09-09,Puzzlestar Puzzleactica,2,19:08,20:37,1:29,5
2025-09-09,Chupacabra Quinceañera,2,19:14,20:39,1:25,5
2025-09-09,Quizteama Aguilera,4,19:12,20:43,1:31,5
2025-09-09,Transplants,4,19:03,20:49,1:46,5
2025-09-09,Gordians,3,19:10,20:54,1:44,5
2025-09-09,T4C,2,19:30,20:58,1:28,5
2025-09-09,Ellen and Friends,3,19:23,20:58,1:35,5
2025-09-09,Kat's Team 3,2,19:37,20:59,1:22,5
2025-09-09,Team Cream Steam,4,19:39,21:01,1:22,5
2025-09-09,Mongoose iacta est,5,19:06,21:03,1:57,5
2025-09-09,Deck Dynasty,7,19:15,21:05,1:50,5
2025-09-09,Pickled Black Licorice,6,19:07,21:06,1:59,5
2025-09-09,Shin Kat's Team,3,19:41,21:09,1:28,5
2025-09-09,Windog,3,19:09,21:12,2:03,5
2025-09-09,People Like Us,5,19:00,21:16,2:16,5
2025-09-09,Gentelman Johnny's Party Train,5,19:19,21:26,2:07,5
2025-09-09,Smiling Sisyphus,4,19:18,21:36,2:18,5
2025-09-09,Michaela's Team,3,19:19,21:50,2:31,5
2025-09-09,PUZZAH!!!,2,19:24,22:00,2:36,5
2025-09-09,Linden,2,19:04,21:18,2:14,4
2025-09-09,Cat People,2,19:25,21:15,1:50,4
2025-09-09,Zach,1,19:02,21:51,2:49,3
2025-09-09,Puzzled Pineapples,4,19:08,21:47,2:39,2
2025-09-09,Baby Nurses,3,19:42,20:45,1:03,1
2025-09-09,ForCabsons,2,,,0:00,5
2025-08-12,PUZZAH!,2,19:14,21:54,2:40,5
2025-08-12,Ellen,1,19:46,21:35,1:49,5
2025-08-12,Smiling Sisyphus,2,19:18,21:34,2:16,5
2025-08-12,Gross Line,2,19:46,21:27,1:41,5
2025-08-12,Salmons,6,19:23,21:24,2:01,4
2025-08-12,Puzzled Pineapple,3,19:00,21:30,2:30,3
2025-08-12,Checky 2,3,19:42,21:16,1:34,5
2025-08-12,Checky 1,2,19:42,21:14,1:32,5
2025-08-12,Cream Steam,2,19:44,21:11,1:27,5
2025-08-12,Chupacabra Quinceñera,3,19:14,20:40,1:26,5
2025-08-12,Stellmackerels,4,19:02,21:04,2:02,5
2025-08-12,People Like Us,2,19:05,21:01,1:56,5
2025-08-12,Dr. Nü,3,19:47,21:01,1:14,5
2025-08-12,Gordians,5,19:17,20:57,1:40,5
2025-08-12,Tainted Ladies + Man,6,19:07,20:45,1:38,5
2025-08-12,King City Solvers,5,19:12,20:52,1:40,5
2025-08-12,T4C Part 1,3,19:24,20:53,1:29,5
2025-08-12,Zero Seconds,3,19:32,20:51,1:19,5
2025-08-12,RAMP Lab,6,19:15,20:50,1:35,5
2025-08-12,Deck nation,6,19:14,20:50,1:36,5
2025-08-12,Team Kat's Team,2,19:44,20:49,1:05,5
2025-08-12,T4C Part 2,3,19:24,20:45,1:21,5
2025-08-12,Puzzlestar Puzzlactica,3,19:00,20:30,1:30,5
2025-08-12,Transplants,10,19:08,20:25,1:17,5
2025-08-12,Gentleman Johnny's Party Train,4,19:18,20:41,1:23,5
2025-08-12,The Wrong Brothers,3,19:04,20:03,0:59,5
2025-08-12,Casual Goblins,3,19:23,20:14,0:51,5
2025-08-12,Ifville Andville Butville,3,19:26,22:00,2:34,5
2025-08-12,Charlie's Angles,2,20:40,21:52,1:12,1
2025-08-12,Cake Eaters,2,19:05,21:24,2:19,4
2025-08-12,Northern Vogue,5,19:07,21:24,2:17,4
2025-07-08,"3 Bodies, 1 Brain",3,19:03,21:10,2:07,5
2025-07-08,"50% Low, 100% Gross Line",4,19:25,20:55,1:30,5
2025-07-08,cake eaters,2,18:40,21:30,2:50,5
2025-07-08,Castle Cat,4,18:33,20:17,1:44,5
2025-07-08,Casual Goblins,6,18:43,19:40,0:57,5
2025-07-08,CQ,2,18:37,20:48,2:11,5
2025-07-08,Dr. QuinceaKNOWra,3,19:14,19:58,0:44,5
2025-07-08,GanGan+,3,18:37,20:57,2:20,5
2025-07-08,Gentleman Johnny's Party Train,2,18:58,21:01,2:03,5
2025-07-08,helloWorld,1,18:42,19:57,1:15,5
2025-07-08,Here for the Beer,6,18:36,20:45,2:09,5
2025-07-08,KingCity Solvers,3,19:38,21:14,1:36,5
2025-07-08,Matthew Schempp,2,18:33,21:05,2:32,5
2025-07-08,People Like Us,5,18:32,20:39,2:07,5
2025-07-08,Pickled Black Licorice,4,18:43,21:02,2:19,5
2025-07-08,Probably Just Ellen,1,19:13,21:10,1:57,5
2025-07-08,Puzzlestar Puzzlactica,3,19:10,20:40,1:30,5
2025-07-08,Smiling Sisyphus,2,18:41,21:27,2:46,5
2025-07-08,Tainted Ladies,5,18:35,21:05,2:30,5
2025-07-08,Team 😸's Team,2,19:15,20:29,1:14,5
2025-07-08,The Gruesome Foursome,4,18:33,21:26,2:53,5
2025-07-08,The Likely Suspects,7,18:44,20:05,1:21,5
2025-07-08,The People's Republic of Dec,4,19:30,21:30,2:00,5
2025-07-08,Transplants,6,18:41,20:44,2:03,5
2025-07-08,Whizards,3,18:34,21:23,2:49,5
2025-07-08,Whose Quince Is It Anyways?,6,18:44,20:35,1:51,5
2025-07-08,zero seconds,3,18:52,20:16,1:24,5
2025-07-08,T4C,3,18:42,20:17,1:35,5
2025-07-08,Newbs,2,18:38,21:17,2:39,2
2025-07-08,KH,3,18:49,21:20,2:31,3
2025-07-08,Gordians,3,19:07,20:31,1:24,5
2025-07-08,Kat's Team 2,2,19:13,20:38,1:25,5
2025-07-08,C@raline@ Syzygy,1,19:19,20:06,0:47,5
2025-06-10,Gross Line,2,19:45,20:52,1:07,5
2025-06-10,Castle Cat,4,19:09,20:35,1:26,5
2025-06-10,Casual Goblins,3,19:15,20:00,0:45,5
2025-06-10,Confounded Cryptologists,2,19:10,21:44,2:34,5
2025-06-10,CQ,2,19:18,21:07,1:49,5
2025-06-10,Dr Deal or Dr Know Deal,4,19:21,20:23,1:02,5
2025-06-10,Just Ellen,1,19:45,21:28,1:43,3
2025-06-10,Gentleman Johnny's Party Train,5,19:35,21:38,2:03,5
2025-06-10,Gordians,4,19:17,21:22,2:05,5
2025-06-10,Here for the Beer,6,19:07,20:33,1:26,5
2025-06-10,Meg and Sid Show,2,20:30,21:57,1:27,3
2025-06-10,Michaela's Team,3,19:08,21:03,1:55,5
2025-06-10,Mike Dupuis' Freak Off,4,19:26,22:14,2:48,4
2025-06-10,Nec Dation,8,19:21,21:37,2:16,5
2025-06-10,People Like Us,5,19:01,20:44,1:43,5
2025-06-10,Pickled Black Licorice,4,19:16,22:11,2:55,5
2025-06-10,Puzzlestar Puzzlactica,3,19:27,20:38,1:11,5
2025-06-10,RAMP Lab,5,19:18,20:34,1:16,5
2025-06-10,Second T4C,5,19:07,20:58,1:51,5
2025-06-10,T4C,4,19:07,21:21,2:14,5
2025-06-10,Tainted Ladies,3,19:00,21:15,2:15,5
2025-06-10,Team Kat's Team,2,19:47,20:53,1:06,5
2025-06-10,Team Radish,4,19:01,21:57,2:56,5
2025-06-10,The Ausome Hcmsterz,2,19:37,21:32,1:55,5
2025-06-10,Transplants,8,19:10,20:19,1:09,5
2025-06-10,Wandered in by Mistake,2,7:30,9:30,2:00,3
2025-06-10,Windog,2,19:06,22:01,2:55,3
2025-06-10,Zach,1,19:10,22:10,3:00,2
2025-06-10,Zero Seconds,3,19:30,21:08,1:38,5
2025-06-10,Junebugs,3,19:16,21:04,1:48,4
2025-06-10,Hal Grenski,2,19:07,22:07,3:00,5
2025-06-10,Team Kat's 3rd Team,2,,,0:00,At least 4
2025-06-10,Team Kat's Other Team,2,,,0:00,At least 4
2025-06-10,Twins,3,,,0:00,3
2025-05-13,Ben and Katie,2,19:04,21:13,2:09,5
2025-05-13,Benchwarmers,4,19:00,21:45,2:45,5
2025-05-13,Castle Cat,4,19:26,20:57,1:31,5
2025-05-13,Casual Goblins,5,19:20,20:36,1:16,5
2025-05-13,Chupacabra Quinceañera,2,19:04,20:32,1:28,5
2025-05-13,Confused Codebreakers,2,19:11,21:22,2:11,5
2025-05-13,Ellen & Friend,2,19:00,20:56,1:56,5
2025-05-13,Gentleman Johnny's Party Train,4,19:31,21:02,1:31,5
